Order_ID,Order_Date,Region,Product,Units_Sold,Unit_Price,Sales_Amount,Stock_Available,Marketing_Spend
1000,2023-01-01,North,Laptop,152,45000,6840000,448,48158
1001,2023-01-01,North,Mobile,156,25000,3900000,171,21284
1002,2023-01-01,North,Tablet,152,18000,2736000,221,26850
1003,2023-01-01,North,Headphones,264,3000,792000,430,31962
1004,2023-01-01,South,Laptop,137,45000,6165000,472,26023
1005,2023-01-01,South,Mobile,180,25000,4500000,249,10769
1006,2023-01-01,South,Tablet,137,18000,2466000,393,12433
1007,2023-01-01,South,Headphones,241,3000,723000,376,27568
1008,2023-01-01,East,Laptop,253,45000,11385000,413,38693
1009,2023-01-01,East,Mobile,285,25000,7125000,444,35658
1010,2023-01-01,East,Tablet,219,18000,3942000,287,10189
1011,2023-01-01,East,Headphones,239,3000,717000,274,45773
1012,2023-01-01,West,Laptop,100,45000,4500000,463,11267
1013,2023-01-01,West,Mobile,113,25000,2825000,230,13556
1014,2023-01-01,West,Tablet,100,18000,1800000,234,40740
1015,2023-01-01,West,Headphones,122,3000,366000,266,31777
1016,2023-02-01,North,Laptop,181,45000,8145000,188,18433
1017,2023-02-01,North,Mobile,299,25000,7475000,364,33897
1018,2023-02-01,North,Tablet,102,18000,1836000,485,33483
1019,2023-02-01,North,Headphones,248,3000,744000,363,24541
1020,2023-02-01,South,Laptop,130,45000,5850000,149,13943
1021,2023-02-01,South,Mobile,181,25000,4525000,101,11021
1022,2023-02-01,South,Tablet,183,18000,3294000,153,23417
1023,2023-02-01,South,Headphones,53,3000,159000,409,19692
1024,2023-02-01,East,Laptop,240,45000,10800000,317,15675
1025,2023-02-01,East,Mobile,211,25000,5275000,301,36557
1026,2023-02-01,East,Tablet,277,18000,4986000,369,42606
1027,2023-02-01,East,Headphones,97,3000,291000,370,39127
1028,2023-02-01,West,Laptop,255,45000,11475000,314,35851
1029,2023-02-01,West,Mobile,298,25000,7450000,289,34276
1030,2023-02-01,West,Tablet,257,18000,4626000,336,18529
1031,2023-02-01,West,Headphones,160,3000,480000,152,31271
1032,2023-03-01,North,Laptop,203,45000,9135000,316,31243
1033,2023-03-01,North,Mobile,237,25000,5925000,479,49976
1034,2023-03-01,North,Tablet,206,18000,3708000,114,12568
1035,2023-03-01,North,Headphones,137,3000,411000,228,12027
1036,2023-03-01,South,Laptop,185,45000,8325000,162,15258
1037,2023-03-01,South,Mobile,292,25000,7300000,180,43159
1038,2023-03-01,South,Tablet,212,18000,3816000,388,22666
1039,2023-03-01,South,Headphones,54,3000,162000,330,48952
1040,2023-03-01,East,Laptop,77,45000,3465000,234,18392
1041,2023-03-01,East,Mobile,121,25000,3025000,367,33599
1042,2023-03-01,East,Tablet,296,18000,5328000,161,24039
1043,2023-03-01,East,Headphones,86,3000,258000,198,29115
1044,2023-03-01,West,Laptop,153,45000,6885000,313,34538
1045,2023-03-01,West,Mobile,84,25000,2100000,326,18110
1046,2023-03-01,West,Tablet,255,18000,4590000,230,27412
1047,2023-03-01,West,Headphones,267,3000,801000,354,35446
1048,2023-04-01,North,Laptop,76,45000,3420000,492,10206
1049,2023-04-01,North,Mobile,64,25000,1600000,445,33419
1050,2023-04-01,North,Tablet,254,18000,4572000,278,32403
1051,2023-04-01,North,Headphones,271,3000,813000,330,11678
1052,2023-04-01,South,Laptop,220,45000,9900000,128,43827
1053,2023-04-01,South,Mobile,62,25000,1550000,259,26198
1054,2023-04-01,South,Tablet,236,18000,4248000,342,32299
1055,2023-04-01,South,Headphones,115,3000,345000,269,12693
1056,2023-04-01,East,Laptop,77,45000,3465000,127,13627
1057,2023-04-01,East,Mobile,133,25000,3325000,385,31834
1058,2023-04-01,East,Tablet,177,18000,3186000,447,31976
1059,2023-04-01,East,Headphones,280,3000,840000,289,33776
1060,2023-04-01,West,Laptop,178,45000,8010000,476,11306
1061,2023-04-01,West,Mobile,239,25000,5975000,220,37251
1062,2023-04-01,West,Tablet,254,18000,4572000,332,19474
1063,2023-04-01,West,Headphones,152,3000,456000,297,31959
1064,2023-05-01,North,Laptop,204,45000,9180000,236,13748
1065,2023-05-01,North,Mobile,274,25000,6850000,406,23545
1066,2023-05-01,North,Tablet,221,18000,3978000,251,44766
1067,2023-05-01,North,Headphones,108,3000,324000,473,40303
1068,2023-05-01,South,Laptop,265,45000,11925000,332,49353
1069,2023-05-01,South,Mobile,101,25000,2525000,367,33938
1070,2023-05-01,South,Tablet,162,18000,2916000,200,30080
1071,2023-05-01,South,Headphones,233,3000,699000,180,36736
1072,2023-05-01,East,Laptop,51,45000,2295000,229,10854
1073,2023-05-01,East,Mobile,278,25000,6950000,323,17392
1074,2023-05-01,East,Tablet,178,18000,3204000,225,31556
1075,2023-05-01,East,Headphones,221,3000,663000,317,48559
1076,2023-05-01,West,Laptop,247,45000,11115000,346,14931
1077,2023-05-01,West,Mobile,232,25000,5800000,302,22688
1078,2023-05-01,West,Tablet,87,18000,1566000,379,10197
1079,2023-05-01,West,Headphones,263,3000,789000,494,25087
1080,2023-06-01,North,Laptop,193,45000,8685000,196,37848
1081,2023-06-01,North,Mobile,173,25000,4325000,286,25708
1082,2023-06-01,North,Tablet,52,18000,936000,247,12811
1083,2023-06-01,North,Headphones,236,3000,708000,445,44754
1084,2023-06-01,South,Laptop,196,45000,8820000,247,12911
1085,2023-06-01,South,Mobile,248,25000,6200000,407,18680
1086,2023-06-01,South,Tablet,210,18000,3780000,227,33078
1087,2023-06-01,South,Headphones,131,3000,393000,459,47504
1088,2023-06-01,East,Laptop,60,45000,2700000,250,31918
1089,2023-06-01,East,Mobile,271,25000,6775000,397,40306
1090,2023-06-01,East,Tablet,56,18000,1008000,351,41065
1091,2023-06-01,East,Headphones,161,3000,483000,159,12049
1092,2023-06-01,West,Laptop,178,45000,8010000,403,30932
1093,2023-06-01,West,Mobile,86,25000,2150000,259,17158
1094,2023-06-01,West,Tablet,58,18000,1044000,332,25151
1095,2023-06-01,West,Headphones,257,3000,771000,230,14499
1096,2023-07-01,North,Laptop,201,45000,9045000,153,22183
1097,2023-07-01,North,Mobile,165,25000,4125000,174,42711
1098,2023-07-01,North,Tablet,213,18000,3834000,203,12557
1099,2023-07-01,North,Headphones,266,3000,798000,198,12200
1100,2023-07-01,South,Laptop,142,45000,6390000,483,31357
1101,2023-07-01,South,Mobile,131,25000,3275000,293,12869
1102,2023-07-01,South,Tablet,212,18000,3816000,307,38643
1103,2023-07-01,South,Headphones,210,3000,630000,167,33328
1104,2023-07-01,East,Laptop,191,45000,8595000,376,31295
1105,2023-07-01,East,Mobile,197,25000,4925000,483,43986
1106,2023-07-01,East,Tablet,194,18000,3492000,227,14555
1107,2023-07-01,East,Headphones,236,3000,708000,470,29830
1108,2023-07-01,West,Laptop,71,45000,3195000,337,24373
1109,2023-07-01,West,Mobile,279,25000,6975000,464,18754
1110,2023-07-01,West,Tablet,231,18000,4158000,363,29738
1111,2023-07-01,West,Headphones,76,3000,228000,325,42352
1112,2023-08-01,North,Laptop,77,45000,3465000,466,15600
1113,2023-08-01,North,Mobile,246,25000,6150000,416,19007
1114,2023-08-01,North,Tablet,196,18000,3528000,103,47410
1115,2023-08-01,North,Headphones,241,3000,723000,148,18208
1116,2023-08-01,South,Laptop,221,45000,9945000,319,28589
1117,2023-08-01,South,Mobile,270,25000,6750000,145,46212
1118,2023-08-01,South,Tablet,55,18000,990000,198,42635
1119,2023-08-01,South,Headphones,282,3000,846000,136,28711
1120,2023-08-01,East,Laptop,142,45000,6390000,401,10699
